,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Alewife,Immunity,Clairo,2019-08-02,213000,66,0.433,0.932,0.433,0.329,0.0474,0.1,-13.288,0.0343,102.971,4
1,Impossible,Immunity,Clairo,2019-08-02,230346,60,0.432,0.255,0.432,0.615,0.00619,0.128,-11.79,0.0494,99.574,4
2,Closer To You,Immunity,Clairo,2019-08-02,184293,61,0.76,0.164,0.76,0.376,0.000473,0.107,-9.397,0.0426,76.996,4
3,North,Immunity,Clairo,2019-08-02,213253,60,0.352,0.244,0.352,0.632,1.82e-05,0.153,-6.261,0.0473,96.929,4
4,Bags,Immunity,Clairo,2019-08-02,260519,73,0.742,0.172,0.742,0.546,0.38,0.115,-7.694,0.0315,104.996,4
5,Softly,Immunity,Clairo,2019-08-02,185306,73,0.759,0.33,0.759,0.436,0.0113,0.102,-11.233,0.0419,94.03,4
6,Sofia,Immunity,Clairo,2019-08-02,188386,88,0.744,0.598,0.744,0.619,0.00372,0.231,-9.805,0.039,112.997,4
7,White Flag,Immunity,Clairo,2019-08-02,181253,62,0.375,0.644,0.375,0.473,0.0302,0.119,-10.053,0.0533,100.25,4
8,Feel Something,Immunity,Clairo,2019-08-02,176800,64,0.474,0.447,0.474,0.439,0.000178,0.113,-10.107,0.0541,114.856,4
9,Sinking,Immunity,Clairo,2019-08-02,190000,59,0.79,0.586,0.79,0.338,0.000147,0.0899,-8.899,0.0292,99.339,3
10,I Wouldn't Ask You,Immunity,Clairo,2019-08-02,416373,60,0.363,0.706,0.363,0.376,0.0144,0.0841,-10.95,0.0515,133.76,4
11,I Don’t Think I Can Do This Again (with Clairo),I Don’t Think I Can Do This Again,Mura Masa,2019-08-21,221986,57,0.58,0.00738,0.58,0.434,0.000129,0.105,-10.708,0.0479,139.082,4
12,Sofia,Sofia,Clairo,2019-07-26,188386,59,0.744,0.598,0.744,0.619,0.00372,0.231,-9.805,0.039,112.997,4
13,Closer To You,Closer To You,Clairo,2019-06-27,184293,45,0.76,0.164,0.76,0.376,0.000473,0.107,-9.397,0.0426,76.996,4
14,Bags,Bags,Clairo,2019-05-24,260519,59,0.742,0.172,0.742,0.546,0.38,0.115,-7.694,0.0315,104.996,4
15,Bubble Gum,Bubble Gum,Clairo,2019-02-22,175960,78,0.509,0.979,0.509,0.0167,2.72e-05,0.387,-24.639,0.115,207.97,3
16,Sis,Sis,Clairo,2019-02-22,136280,59,0.511,0.545,0.511,0.512,0.93,0.116,-9.091,0.0331,120.159,4
17,Heaven,Heaven,Clairo,2018-09-07,233871,61,0.733,0.224,0.733,0.262,4.79e-06,0.105,-13.766,0.028,135.497,3
18,Drown,Drown,Cuco,2018-08-01,234055,66,0.674,0.455,0.674,0.615,0.00091,0.208,-8.188,0.147,85.048,4
19,Better - SG Lewis x Clairo,Better (SG Lewis x Clairo),SG Lewis,2018-07-06,193761,62,0.699,0.05,0.699,0.583,0.00029,0.091,-9.731,0.0357,109.001,4
20,Hello?,diary 001,Clairo,2018-05-25,135016,75,0.839,0.641,0.839,0.473,0.000459,0.0939,-7.835,0.0607,98.732,4
21,Flaming Hot Cheetos,diary 001,Clairo,2018-05-25,122244,50,0.795,0.887,0.795,0.605,5.42e-06,0.105,-7.374,0.125,110.113,4
22,B.O.M.D.,diary 001,Clairo,2018-05-25,159942,57,0.496,0.509,0.496,0.476,3.42e-06,0.127,-8.123,0.072,95.894,4
23,4EVER,diary 001,Clairo,2018-05-25,159595,53,0.75,0.049,0.75,0.585,0.00552,0.155,-7.576,0.0285,102.331,4
24,Pretty Girl,diary 001,Clairo,2018-05-25,179848,50,0.893,0.634,0.893,0.631,0.000297,0.0607,-4.114,0.0418,112.129,4
25,How - demo,diary 001,Clairo,2018-05-25,127040,65,0.649,0.766,0.649,0.428,0.00294,0.0816,-4.584,0.0313,77.057,4
26,4EVER,4EVER,Clairo,2018-04-27,159595,73,0.75,0.049,0.75,0.585,0.00552,0.155,-7.576,0.0285,102.331,4
27,Pretty Girl,Pretty Girl,Clairo,2017-08-04,178352,80,0.93,0.593,0.93,0.611,0.00124,0.0592,-4.406,0.0415,112.127,4
28,Flaming Hot Cheetos,Flaming Hot Cheetos,Clairo,2017-06-14,123884,77,0.817,0.865,0.817,0.551,0.000151,0.101,-9.33,0.133,109.966,4
29,Get With U,Get With U,Clairo,2017-04-15,118883,58,0.747,0.895,0.747,0.0676,0.258,0.11,-14.215,0.0441,65.003,4
30,2 Hold U,2 Hold U,Clairo,2017-04-13,118877,57,0.843,0.451,0.843,0.28,0.284,0.0984,-15.331,0.0957,95.147,4
