,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Deleter,Healer,Grouplove,2020-03-13,234386,61,0.421,3.81e-06,0.421,0.991,0.0466,0.13,-3.678,0.124,159.998,4
1,Inside Out,Healer,Grouplove,2020-03-13,208000,51,0.578,0.254,0.578,0.856,0.0,0.37,-5.852,0.247,112.076,4
2,Expectations,Healer,Grouplove,2020-03-13,313666,36,0.718,0.000928,0.718,0.807,3.98e-05,0.186,-5.318,0.0376,117.015,4
3,The Great Unknown,Healer,Grouplove,2020-03-13,237346,36,0.594,0.0088,0.594,0.594,0.0,0.201,-6.279,0.0356,100.027,4
4,Youth,Healer,Grouplove,2020-03-13,287840,41,0.709,0.0377,0.709,0.766,0.22,0.114,-6.039,0.0294,119.989,4
5,Places,Healer,Grouplove,2020-03-13,198320,35,0.193,0.568,0.193,0.263,1.18e-05,0.11,-10.152,0.0308,79.714,3
6,Promises,Healer,Grouplove,2020-03-13,258226,31,0.632,0.00549,0.632,0.665,0.0,0.364,-6.572,0.033,114.017,4
7,Ahead of Myself,Healer,Grouplove,2020-03-13,229586,35,0.722,0.178,0.722,0.663,0.0,0.106,-6.124,0.0795,94.988,4
8,Hail to the Queen,Healer,Grouplove,2020-03-13,255800,33,0.587,0.000536,0.587,0.856,0.00012,0.107,-5.544,0.0347,140.018,4
9,Burial,Healer,Grouplove,2020-03-13,242600,30,0.329,0.0656,0.329,0.642,0.000358,0.083,-6.486,0.0715,125.312,3
10,This is Everything,Healer,Grouplove,2020-03-13,248266,32,0.499,0.15,0.499,0.625,2.53e-05,0.106,-7.547,0.0477,112.943,4
11,Remember That Night,Big Mess,Grouplove,2017-08-17,183405,43,0.412,0.00685,0.412,0.918,0.0,0.0958,-3.525,0.285,112.228,4
12,Welcome to Your Life,Big Mess,Grouplove,2017-08-17,227800,53,0.511,0.00223,0.511,0.617,0.0,0.201,-5.883,0.0313,90.951,4
13,Do You Love Someone,Big Mess,Grouplove,2017-08-17,231360,45,0.521,0.000785,0.521,0.879,0.0,0.666,-4.255,0.0566,129.056,4
14,Standing in the Sun,Big Mess,Grouplove,2017-08-17,255893,41,0.475,0.00317,0.475,0.594,6.84e-06,0.0752,-7.331,0.0292,180.277,4
15,Enlighten Me,Big Mess,Grouplove,2017-08-17,232946,36,0.304,0.0426,0.304,0.749,7.69e-05,0.129,-7.277,0.0549,93.189,4
16,Good Morning,Big Mess,Grouplove,2017-08-17,219560,50,0.562,0.000938,0.562,0.832,2.83e-06,0.063,-5.26,0.0499,104.042,4
17,Spinning,Big Mess,Grouplove,2017-08-17,242066,35,0.646,0.0183,0.646,0.6,0.000374,0.0831,-5.673,0.0279,110.81,4
18,Cannonball,Big Mess,Grouplove,2017-08-17,197693,31,0.685,0.000539,0.685,0.684,0.0973,0.172,-7.597,0.0857,146.011,4
19,Traumatized,Big Mess,Grouplove,2017-08-17,179786,36,0.444,0.0111,0.444,0.856,0.00031,0.357,-3.662,0.054,133.988,4
20,Heart of Mine,Big Mess,Grouplove,2017-08-17,196053,29,0.331,0.00178,0.331,0.823,8.89e-05,0.0999,-2.863,0.0479,151.05,3
21,Don't Stop Making It Happen,Big Mess,Grouplove,2017-08-17,181093,43,0.647,0.0165,0.647,0.661,0.0,0.0549,-5.961,0.0316,98.042,4
22,Hollywood,Big Mess,Grouplove,2017-08-17,250666,37,0.546,0.289,0.546,0.426,0.0,0.0866,-6.713,0.032,144.697,4
23,I'm with You,Spreading Rumours,Grouplove,2013-09-17,334160,45,0.499,0.414,0.499,0.809,0.215,0.445,-7.508,0.0748,139.961,4
24,Borderlines and Aliens,Spreading Rumours,Grouplove,2013-09-17,230373,36,0.407,0.000809,0.407,0.93,1.43e-05,0.248,-6.298,0.0977,102.57,4
25,Schoolboy,Spreading Rumours,Grouplove,2013-09-17,232120,36,0.558,0.048,0.558,0.846,1.37e-06,0.27,-6.799,0.0635,111.003,4
26,Ways to Go,Spreading Rumours,Grouplove,2013-09-17,215520,65,0.577,0.00338,0.577,0.827,0.000647,0.26,-7.54,0.0365,101.031,4
27,Shark Attack,Spreading Rumours,Grouplove,2013-09-17,238626,39,0.449,0.000264,0.449,0.635,4.65e-05,0.332,-7.557,0.0397,166.04,4
28,Sit Still,Spreading Rumours,Grouplove,2013-09-17,244813,32,0.648,0.0424,0.648,0.851,1.15e-05,0.24,-6.695,0.0354,92.937,4
29,Hippy Hill,Spreading Rumours,Grouplove,2013-09-17,175986,42,0.524,0.104,0.524,0.556,1.03e-06,0.131,-9.537,0.0392,133.822,4
30,What I Know,Spreading Rumours,Grouplove,2013-09-17,234520,32,0.498,0.00193,0.498,0.777,0.0,0.254,-6.904,0.0424,89.967,4
31,Didn't Have to Go,Spreading Rumours,Grouplove,2013-09-17,224680,30,0.472,0.0387,0.472,0.861,2.09e-05,0.126,-6.61,0.0648,79.941,4
32,Bitin' the Bullet,Spreading Rumours,Grouplove,2013-09-17,248706,29,0.566,0.0335,0.566,0.742,0.00581,0.362,-6.255,0.0333,81.996,4
33,News to Me,Spreading Rumours,Grouplove,2013-09-17,226106,28,0.2,0.00584,0.2,0.847,0.0,0.0952,-6.505,0.0548,182.766,4
34,Raspberry,Spreading Rumours,Grouplove,2013-09-17,196026,64,0.492,0.0292,0.492,0.779,0.0,0.129,-5.022,0.0498,104.966,4
35,Save the Party for Me,Spreading Rumours,Grouplove,2013-09-17,208413,27,0.502,0.768,0.502,0.301,0.000684,0.114,-8.293,0.0298,139.81,3
36,I'm with You,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,334160,24,0.499,0.414,0.499,0.809,0.215,0.445,-7.508,0.0748,139.961,4
37,Borderlines and Aliens,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,230373,20,0.407,0.000809,0.407,0.93,1.43e-05,0.248,-6.298,0.0977,102.57,4
38,Schoolboy,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,232120,15,0.558,0.048,0.558,0.846,1.37e-06,0.27,-6.799,0.0635,111.003,4
39,Ways to Go,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,215520,43,0.577,0.00338,0.577,0.827,0.000647,0.26,-7.54,0.0365,101.031,4
40,Shark Attack,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,238626,26,0.449,0.000264,0.449,0.635,4.65e-05,0.332,-7.557,0.0397,166.04,4
41,Sit Still,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,244813,11,0.648,0.0424,0.648,0.851,1.15e-05,0.24,-6.695,0.0354,92.937,4
42,Hippy Hill,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,175986,17,0.524,0.104,0.524,0.556,1.03e-06,0.131,-9.537,0.0392,133.822,4
43,What I Know,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,234520,11,0.498,0.00193,0.498,0.777,0.0,0.254,-6.904,0.0424,89.967,4
44,Didn't Have to Go,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,224680,11,0.472,0.0387,0.472,0.861,2.09e-05,0.126,-6.61,0.0648,79.941,4
45,Bitin' the Bullet,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,248706,9,0.566,0.0335,0.566,0.742,0.00581,0.362,-6.255,0.0333,81.996,4
46,News to Me,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,226106,8,0.2,0.00584,0.2,0.847,0.0,0.0952,-6.505,0.0548,182.766,4
47,Raspberry,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,196026,40,0.492,0.0292,0.492,0.779,0.0,0.129,-5.022,0.0498,104.966,4
48,Save the Party for Me,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,208413,8,0.502,0.768,0.502,0.301,0.000684,0.114,-8.293,0.0298,139.81,3
49,Girl - Bonus Track,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,257845,10,0.402,0.48,0.402,0.64,0.143,0.0741,-7.926,0.0327,71.982,4
50,Flowers - Bonus Track,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,254029,11,0.31,0.000649,0.31,0.923,0.0,0.355,-4.389,0.164,206.011,4
51,Beans on Pizza,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,169521,10,0.604,0.0211,0.604,0.387,0.0,0.149,-7.54,0.0324,139.917,4
52,Ways to Go - Everything Everything Remix,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,286272,6,0.597,0.0151,0.597,0.916,0.000283,0.173,-4.628,0.0366,113.023,4
