,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Divinity - ODESZA Remix,Worlds (Remixed),Porter Robinson,2015-10-02,326266,51,0.374,0.00688,0.374,0.803,0.617,0.0778,-6.056,0.0465,180.024,4
1,Sad Machine - Deon Custom Remix,Worlds (Remixed),Porter Robinson,2015-10-02,306666,37,0.476,0.0214,0.476,0.862,0.00199,0.382,-3.809,0.113,89.838,4
2,Years Of War - Rob Mayth Remix,Worlds (Remixed),Porter Robinson,2015-10-02,235369,36,0.562,0.0403,0.562,0.95,0.00794,0.117,-4.279,0.037,143.983,4
3,Flicker - Mat Zo Remix,Worlds (Remixed),Porter Robinson,2015-10-02,295172,37,0.658,0.046,0.658,0.919,0.0019,0.0885,-3.298,0.266,173.963,4
4,Fresh Static Snow - Last Island Remix,Worlds (Remixed),Porter Robinson,2015-10-02,192015,34,0.627,0.167,0.627,0.679,0.196,0.123,-8.445,0.0296,119.979,4
5,Polygon Dust - Sleepy Tom Remix,Worlds (Remixed),Porter Robinson,2015-10-02,247703,32,0.741,0.00388,0.741,0.827,0.195,0.151,-10.119,0.0586,110.993,4
6,Hear The Bells - Electric Mantis Remix,Worlds (Remixed),Porter Robinson,2015-10-02,285405,32,0.549,0.133,0.549,0.877,0.00378,0.109,-1.381,0.155,74.131,4
7,Natural Light - San Holo Remix,Worlds (Remixed),Porter Robinson,2015-10-02,175670,38,0.362,0.00682,0.362,0.598,3.1e-06,0.0869,-7.802,0.443,145.976,3
8,Lionhearted - Point Point Remix,Worlds (Remixed),Porter Robinson,2015-10-02,205090,30,0.627,0.0183,0.627,0.903,0.0048,0.0706,-2.599,0.0406,110.013,4
9,Sea Of Voices - Galimatias Remix,Worlds (Remixed),Porter Robinson,2015-10-02,181052,34,0.482,0.279,0.482,0.572,0.00184,0.0929,-8.756,0.355,85.496,3
10,Fellow Feeling - SLUMBERJACK Remix,Worlds (Remixed),Porter Robinson,2015-10-02,291367,30,0.347,0.0027,0.347,0.875,0.471,0.247,-4.457,0.451,149.93,4
11,Goodbye To A World - Chrome Sparks Remix,Worlds (Remixed),Porter Robinson,2015-10-02,373119,40,0.351,0.117,0.351,0.796,0.00066,0.351,-6.868,0.056,127.992,4
12,Divinity - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,97570,20,0.633,0.696,0.633,0.141,0.0,0.438,-35.475,0.865,86.287,1
13,Sad Machine - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,140337,25,0.551,0.653,0.551,0.0979,0.0,0.155,-38.46,0.856,79.225,4
14,Years Of War - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,97616,24,0.61,0.654,0.61,0.0689,0.0,0.119,-38.285,0.865,75.734,4
15,Flicker - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,105139,24,0.62,0.64,0.62,0.0588,0.0,0.613,-36.856,0.689,112.192,4
16,Fresh Static Snow - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,113104,24,0.557,0.579,0.557,0.0538,0.0,0.484,-39.814,0.755,97.779,3
17,Polygon Dust - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,86884,16,0.712,0.496,0.712,0.0924,0.0,0.321,-33.109,0.583,115.845,4
18,Hear The Bells - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,36690,23,0.704,0.653,0.704,0.0589,0.0,0.29,-37.341,0.732,43.026,3
19,Natural Light - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,95851,16,0.601,0.656,0.601,0.0984,0.0,0.183,-37.207,0.907,71.107,3
20,Sea Of Voices - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,111571,16,0.577,0.725,0.577,0.076,0.0,0.45,-38.775,0.919,77.156,5
21,Fellow Feeling - Commentary,Worlds Commentary,Porter Robinson,2014-08-25,135076,16,0.62,0.648,0.62,0.0816,0.0,0.247,-39.292,0.697,115.185,3
