,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Not In This Town,Lost Songs (Found),Two Door Cinema Club,2020-06-05,196257,36,0.502,0.0017,0.502,0.876,0.0,0.258,-4.002,0.0444,136.973,4
1,Something Good Can Work - Original Demo,Lost Songs (Found),Two Door Cinema Club,2020-06-05,176065,33,0.592,6.56e-05,0.592,0.819,0.0254,0.105,-12.528,0.0493,119.991,4
2,Tiptoes,Lost Songs (Found),Two Door Cinema Club,2020-06-05,214439,42,0.545,0.00602,0.545,0.672,0.000946,0.0902,-5.658,0.0423,134.021,4
3,19,Lost Songs (Found),Two Door Cinema Club,2020-06-05,175960,34,0.572,0.000219,0.572,0.585,0.0,0.215,-6.807,0.0291,145.992,4
4,Hands Off My Cash Monty,Lost Songs (Found),Two Door Cinema Club,2020-06-05,165067,33,0.423,0.00022,0.423,0.733,0.0,0.581,-5.237,0.0381,160.09,4
5,Impatience is a Virtue,Lost Songs (Found),Two Door Cinema Club,2020-06-05,163384,32,0.664,8.06e-05,0.664,0.77,0.0077,0.545,-4.802,0.0329,130.04,4
6,Too Much Coffee,Lost Songs (Found),Two Door Cinema Club,2020-06-05,169717,32,0.569,0.000231,0.569,0.845,0.696,0.113,-6.361,0.0335,145.017,4
7,Once,False Alarm,Two Door Cinema Club,2019-06-21,198987,39,0.624,0.00328,0.624,0.869,0.000645,0.13,-6.307,0.0419,110.02,4
8,Talk,False Alarm,Two Door Cinema Club,2019-06-21,264030,40,0.757,0.00843,0.757,0.775,0.00129,0.148,-5.873,0.0737,122.993,4
9,Satisfaction Guaranteed,False Alarm,Two Door Cinema Club,2019-06-21,227934,34,0.398,0.0261,0.398,0.861,0.000245,0.0822,-4.674,0.0893,121.01,4
10,So Many People,False Alarm,Two Door Cinema Club,2019-06-21,281987,34,0.685,0.0101,0.685,0.504,8.24e-05,0.0777,-5.743,0.0413,106.998,4
11,Think,False Alarm,Two Door Cinema Club,2019-06-21,231927,33,0.555,0.133,0.555,0.551,0.028,0.0842,-8.171,0.0729,160.116,4
12,Nice To See You,False Alarm,Two Door Cinema Club,2019-06-21,373308,33,0.702,0.0338,0.702,0.723,0.00155,0.0926,-6.022,0.0394,110.001,4
13,Break,False Alarm,Two Door Cinema Club,2019-06-21,128234,30,0.656,0.503,0.656,0.5,0.0182,0.441,-9.798,0.03,80.009,4
14,Dirty Air,False Alarm,Two Door Cinema Club,2019-06-21,243828,44,0.605,0.00415,0.605,0.945,0.00114,0.105,-4.941,0.0379,138.022,4
15,Satellite,False Alarm,Two Door Cinema Club,2019-06-21,259504,38,0.708,0.00295,0.708,0.737,0.154,0.0899,-6.75,0.0395,127.999,4
16,Already Gone,False Alarm,Two Door Cinema Club,2019-06-21,221650,29,0.606,0.149,0.606,0.66,0.00918,0.082,-4.968,0.033,142.005,4
17,Talk - Single Edit,False Alarm,Two Door Cinema Club,2019-06-21,216503,47,0.742,0.00852,0.742,0.801,0.000175,0.141,-5.725,0.0694,122.972,4
18,Satellite - Single Edit,False Alarm,Two Door Cinema Club,2019-06-21,201335,42,0.74,0.00347,0.74,0.697,0.0378,0.201,-6.545,0.0386,127.984,4
19,Are We Ready? (Wreck),Gameshow,Two Door Cinema Club,2016-10-14,230853,25,0.601,0.00522,0.601,0.752,0.00732,0.337,-6.626,0.032,93.988,4
20,Bad Decisions,Gameshow,Two Door Cinema Club,2016-10-14,297786,23,0.62,0.0494,0.62,0.678,0.0123,0.134,-9.111,0.0353,105.99,4
21,Ordinary,Gameshow,Two Door Cinema Club,2016-10-14,298933,21,0.774,0.109,0.774,0.546,0.00365,0.105,-8.644,0.0364,122.02,4
22,Gameshow,Gameshow,Two Door Cinema Club,2016-10-14,232586,20,0.562,0.00163,0.562,0.687,0.0386,0.319,-6.813,0.0434,131.977,4
23,Lavender,Gameshow,Two Door Cinema Club,2016-10-14,235893,23,0.831,0.0606,0.831,0.439,0.000574,0.0512,-7.015,0.0704,96.009,4
24,Fever,Gameshow,Two Door Cinema Club,2016-10-14,281920,19,0.608,0.0726,0.608,0.688,0.345,0.191,-6.35,0.047,109.98,4
25,Invincible,Gameshow,Two Door Cinema Club,2016-10-14,269173,17,0.477,0.0448,0.477,0.531,0.000634,0.486,-7.078,0.0546,163.828,4
26,Good Morning,Gameshow,Two Door Cinema Club,2016-10-14,236173,19,0.766,0.307,0.766,0.699,0.000411,0.15,-6.776,0.0305,115.03,4
27,Surgery,Gameshow,Two Door Cinema Club,2016-10-14,276333,17,0.783,0.0978,0.783,0.463,0.000255,0.0839,-8.599,0.077,99.995,4
28,Je Viens De La,Gameshow,Two Door Cinema Club,2016-10-14,224626,18,0.642,0.0131,0.642,0.72,0.000116,0.0681,-6.457,0.0677,117.993,4
29,Are We Ready? (Wreck),Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,230853,55,0.601,0.00476,0.601,0.784,0.0127,0.347,-5.622,0.0333,94.019,4
30,Bad Decisions,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,297786,48,0.63,0.0491,0.63,0.709,0.00813,0.128,-8.15,0.0351,105.992,4
31,Ordinary,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,298933,42,0.775,0.114,0.775,0.577,0.00309,0.11,-7.638,0.0358,122.026,4
32,Gameshow,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,232586,36,0.555,0.00164,0.555,0.716,0.0348,0.296,-5.802,0.0474,131.985,4
33,Lavender,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,235893,46,0.833,0.0572,0.833,0.455,0.00095,0.0491,-6.026,0.0699,96.025,4
34,Fever,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,281920,34,0.611,0.0802,0.611,0.72,0.405,0.178,-5.306,0.0481,109.943,4
35,Invincible,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,269173,32,0.483,0.0487,0.483,0.565,0.000863,0.487,-6.063,0.0595,163.9,4
36,Good Morning,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,236173,41,0.77,0.292,0.77,0.729,0.000268,0.151,-5.775,0.0306,115.032,4
37,Surgery,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,276333,30,0.78,0.104,0.78,0.485,0.000397,0.0836,-7.6,0.0727,99.999,4
38,Je Viens De La,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,224626,34,0.638,0.013,0.638,0.75,0.000122,0.0688,-5.45,0.0689,118.009,4
39,Gasoline,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,219773,30,0.644,0.365,0.644,0.702,0.0657,0.0815,-6.699,0.05,169.894,4
40,Sucker,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,257253,32,0.348,0.291,0.348,0.576,0.0533,0.132,-6.471,0.0607,74.981,3
41,Ordinary - Sam Holiday Remix; Bonus Track,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,266626,26,0.74,0.000698,0.74,0.659,0.728,0.284,-6.988,0.0394,119.001,4
42,Bad Decisions - Kev's Summer Time Madness Remix; Bonus Track,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,370106,24,0.654,0.0238,0.654,0.896,0.00117,0.03,-5.829,0.0725,107.999,4
43,Gameshow - Live at Bonnaroo 2016; Bonus Track,Gameshow (Deluxe Edition),Two Door Cinema Club,2016-10-14,236400,23,0.497,0.000207,0.497,0.903,8.88e-06,0.48,-4.795,0.184,131.975,4
44,Cigarettes in the Theatre,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,214293,32,0.452,9.17e-05,0.452,0.882,0.156,0.115,-5.154,0.24,168.994,4
45,Come Back Home,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,203933,29,0.605,0.00138,0.605,0.871,0.0134,0.524,-5.131,0.0553,124.93,4
46,Undercover Martyn,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,167773,34,0.447,0.000253,0.447,0.862,7.19e-06,0.0719,-4.898,0.124,159.864,4
47,Do You Want It All?,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,209386,29,0.522,0.00162,0.522,0.8,0.000341,0.0709,-4.974,0.0615,153.913,1
48,This Is the Life,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,210733,29,0.451,6.87e-05,0.451,0.788,0.0282,0.0882,-5.211,0.111,135.986,4
49,Something Good Can Work,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,164186,32,0.647,0.00528,0.647,0.829,0.000571,0.173,-5.025,0.0347,119.91,4
50,I Can Talk,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,177400,32,0.472,2.77e-05,0.472,0.757,0.156,0.196,-4.85,0.214,162.942,4
51,What You Know,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,191426,38,0.549,0.000741,0.549,0.755,6.06e-06,0.0786,-3.991,0.0403,139.034,4
52,"Eat That Up, It's Good for You",Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,225426,30,0.506,0.00213,0.506,0.877,0.00634,0.343,-5.145,0.0529,154.896,4
53,You're Not Stubborn,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,190560,26,0.61,3.41e-05,0.61,0.887,4.45e-06,0.337,-4.251,0.0542,131.98,4
54,Kids,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,183146,27,0.546,0.0011,0.546,0.901,0.00037,0.329,-3.345,0.0449,136.119,4
55,Undercover Martyn - Passion Pit Remix,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,239986,20,0.582,0.00114,0.582,0.883,0.000575,0.0805,-7.049,0.0545,160.016,4
56,What You Know - Cassian Remix,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,296573,19,0.678,0.0226,0.678,0.888,0.027,0.0435,-3.906,0.045,125.0,4
57,Something Good Can Work - The Twelves Remix,Tourist History (Deluxe),Two Door Cinema Club,2013-04-23,249560,30,0.662,0.00689,0.662,0.919,0.557,0.0634,-6.031,0.0365,119.951,4
58,Next Year,Beacon,Two Door Cinema Club,2012-09-03,251480,34,0.568,0.00278,0.568,0.807,0.00115,0.0712,-4.782,0.0742,127.525,4
59,Handshake,Beacon,Two Door Cinema Club,2012-09-03,211097,44,0.561,9.48e-05,0.561,0.833,0.262,0.459,-5.042,0.0268,130.986,4
60,Wake Up,Beacon,Two Door Cinema Club,2012-09-03,225800,39,0.524,3.63e-05,0.524,0.825,0.726,0.72,-4.388,0.0381,134.963,4
61,Sun,Beacon,Two Door Cinema Club,2012-09-03,187720,60,0.647,0.0112,0.647,0.532,0.000271,0.1,-5.464,0.0282,96.979,4
62,Someday,Beacon,Two Door Cinema Club,2012-09-03,223120,42,0.484,1.01e-05,0.484,0.921,0.643,0.198,-4.576,0.0352,144.007,4
63,Sleep Alone,Beacon,Two Door Cinema Club,2012-09-03,236440,54,0.52,0.000112,0.52,0.759,0.00256,0.0934,-5.006,0.0413,148.019,4
64,The World Is Watching,Beacon,Two Door Cinema Club,2012-09-03,216400,40,0.589,9.4e-05,0.589,0.687,0.74,0.152,-7.386,0.0279,124.001,4
65,Settle,Beacon,Two Door Cinema Club,2012-09-03,232341,35,0.482,0.00632,0.482,0.773,0.0384,0.087,-5.695,0.0366,131.779,3
66,Spring,Beacon,Two Door Cinema Club,2012-09-03,204308,38,0.642,0.00971,0.642,0.761,0.12,0.115,-6.286,0.0349,125.949,4
67,Pyramid,Beacon,Two Door Cinema Club,2012-09-03,189600,34,0.613,0.000656,0.613,0.746,0.0611,0.0914,-6.591,0.0357,141.293,4
68,Beacon,Beacon,Two Door Cinema Club,2012-09-03,204610,34,0.735,0.0121,0.735,0.538,0.0636,0.0518,-5.986,0.0437,122.023,4
69,Sleep Alone - The Knocks Remix,Beacon,Two Door Cinema Club,2012-09-03,288953,25,0.613,3.15e-05,0.613,0.911,0.892,0.0756,-5.131,0.075,135.009,4
70,Next Year,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,251480,22,0.565,0.0024,0.565,0.791,0.00116,0.0704,-5.528,0.0719,127.445,4
71,Handshake,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,211097,21,0.555,9e-05,0.555,0.813,0.384,0.412,-5.789,0.0269,130.989,4
