,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Some Things,Thought Pool,Verzache,2018-10-19,219428,51,0.503,0.4,0.503,0.331,0.000686,0.0946,-13.618,0.0752,104.999,4
1,What Happened,Thought Pool,Verzache,2018-10-19,194823,41,0.813,0.708,0.813,0.209,0.000171,0.154,-16.275,0.166,84.993,4
2,Summertime,Thought Pool,Verzache,2018-10-19,194851,41,0.776,0.0613,0.776,0.391,0.00176,0.117,-13.868,0.139,101.03,4
3,Free (Interlude),Thought Pool,Verzache,2018-10-19,109962,31,0.269,0.915,0.269,0.154,0.889,0.0935,-18.376,0.0569,87.171,4
4,Alright,Thought Pool,Verzache,2018-10-19,233373,40,0.658,0.847,0.658,0.222,0.306,0.0966,-17.502,0.0828,79.976,4
5,Kick It,Thought Pool,Verzache,2018-10-19,170542,39,0.666,0.273,0.666,0.245,0.217,0.239,-12.528,0.103,134.04,4
6,Fallback,Thought Pool,Verzache,2018-10-19,256000,36,0.577,0.632,0.577,0.271,0.000103,0.152,-13.589,0.0314,75.035,4
7,Mind Games,Thought Pool,Verzache,2018-10-19,196709,51,0.742,0.796,0.742,0.135,0.00805,0.0793,-16.873,0.0362,139.995,4
8,Messed Up,Messed Up,Verzache,2020-10-23,233761,59,0.763,0.06,0.763,0.651,0.000334,0.173,-5.611,0.0292,114.989,4
9,Life Inside,Life Inside,Verzache,2020-04-24,216000,59,0.847,0.232,0.847,0.516,3.09e-05,0.714,-8.728,0.0414,120.016,4
10,Talk,Talk,Verzache,2020-01-01,243200,56,0.852,0.718,0.852,0.344,0.00136,0.0487,-11.13,0.223,74.987,4
11,I Don't Wanna Be Nothin',I Don't Wanna Be Nothin',Verzache,2019-08-23,270291,52,0.53,0.945,0.53,0.284,0.454,0.269,-13.508,0.0355,154.58,3
12,Feeling That Feel,Feeling That Feel,Verzache,2019-07-19,162580,49,0.903,0.472,0.903,0.466,0.0276,0.115,-10.167,0.0559,124.008,4
13,Cable,Cable,Verzache,2019-05-03,168000,49,0.776,0.573,0.776,0.392,0.00291,0.107,-10.91,0.0651,99.928,4
14,January,January,Verzache,2019-01-01,196363,57,0.689,0.933,0.689,0.246,0.0534,0.113,-13.33,0.0379,87.985,4
15,No More,No More,Verzache,2018-05-25,190588,56,0.768,0.915,0.768,0.401,0.0399,0.11,-10.934,0.0845,102.049,4
16,Needs,Needs,Verzache,2018-02-14,177479,76,0.813,0.189,0.813,0.601,0.0002,0.426,-7.552,0.116,118.981,4
17,Losing My Love,Losing My Love,Verzache,2018-01-05,173731,60,0.832,0.709,0.832,0.657,0.0252,0.258,-6.493,0.161,133.872,4
18,Attached,Attached,Verzache,2017-09-07,216158,45,0.625,0.653,0.625,0.592,0.92,0.125,-6.988,0.253,151.0,4
19,Fix Me,Fix Me,Verzache,2017-07-17,255000,28,0.371,0.722,0.371,0.589,0.644,0.303,-9.37,0.285,72.146,4
20,Beginning,D97,Verzache,2017-06-16,129523,32,0.818,0.195,0.818,0.583,2.8e-05,0.428,-6.7,0.45,126.105,4
21,Cascade,D97,Verzache,2017-06-16,205714,29,0.679,0.298,0.679,0.473,0.307,0.315,-5.723,0.213,84.055,4
22,Blueberry,D97,Verzache,2017-06-16,212571,36,0.678,0.64,0.678,0.659,0.325,0.113,-5.599,0.232,140.06,4
23,Hours,D97,Verzache,2017-06-16,240000,31,0.615,0.0645,0.615,0.721,0.241,0.385,-7.398,0.099,120.039,4
24,Dunes and the Search,D97,Verzache,2017-06-16,313378,31,0.73,0.763,0.73,0.583,0.557,0.369,-7.539,0.0543,130.06,4
25,Waiting for You,D97,Verzache,2017-06-16,230000,64,0.524,0.502,0.524,0.274,0.257,0.0924,-13.931,0.295,167.998,4
26,Conscious,Conscious,Verzache,2017-05-01,188250,36,0.681,0.49,0.681,0.619,0.818,0.155,-13.209,0.531,80.167,4
27,Juvenescence,Juvenescence,Verzache,2017-03-09,150167,56,0.837,0.773,0.837,0.36,0.174,0.132,-8.864,0.0516,89.529,4
28,Prudent,Prudent,Verzache,2017-02-16,232615,35,0.408,0.537,0.408,0.416,0.0029,0.0922,-7.505,0.335,69.394,4
29,Ice Cream,Ice Cream,Verzache,2017-02-07,165618,33,0.382,0.731,0.382,0.451,0.854,0.0714,-9.795,0.0907,75.154,4
30,Hiccup,Hiccup,Verzache,2017-01-02,240000,57,0.519,0.654,0.519,0.414,0.0011,0.118,-9.059,0.122,96.789,4
31,The Loser,The Loser,Verzache,2016-07-29,131586,55,0.748,0.485,0.748,0.297,0.27,0.138,-10.613,0.132,123.983,4
32,French,French,Verzache,2016-05-27,132923,44,0.824,0.477,0.824,0.344,0.0277,0.0929,-13.312,0.082,130.049,4
