,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,When I Get Older,Phantom Pop,Wild Party,2014-10-07,184680,44,0.551,0.00327,0.551,0.736,0.0,0.101,-5.75,0.037,95.09,4
1,OutRight,Phantom Pop,Wild Party,2014-10-07,162453,55,0.546,0.000791,0.546,0.823,0.0,0.0502,-4.979,0.0608,147.951,4
2,Life's Too Short,Phantom Pop,Wild Party,2014-10-07,221626,46,0.524,0.000965,0.524,0.831,0.0,0.0904,-5.25,0.0287,93.003,4
3,Take My Advice,Phantom Pop,Wild Party,2014-10-07,228453,34,0.543,0.000368,0.543,0.89,0.0,0.041,-3.893,0.0582,126.0,4
4,Connect The Dots,Phantom Pop,Wild Party,2014-10-07,216133,33,0.571,0.00166,0.571,0.73,0.0,0.0839,-5.06,0.032,130.088,4
5,Violet,Phantom Pop,Wild Party,2014-10-07,179093,39,0.42,0.014,0.42,0.882,0.0,0.36,-4.383,0.0466,171.07,4
6,Chasin' Honey,Phantom Pop,Wild Party,2014-10-07,189960,53,0.526,0.02,0.526,0.637,1.25e-06,0.0978,-5.052,0.0656,176.1,4
7,Walkin',Phantom Pop,Wild Party,2014-10-07,218146,31,0.682,0.00505,0.682,0.849,8.65e-05,0.371,-4.148,0.0312,111.044,4
8,Nicely Done,Phantom Pop,Wild Party,2014-10-07,197773,38,0.647,0.00245,0.647,0.732,0.0,0.202,-4.523,0.0283,99.931,4
9,New Light,Phantom Pop,Wild Party,2014-10-07,215893,34,0.537,0.00365,0.537,0.774,0.000176,0.0929,-4.44,0.0453,154.841,4
10,Lo-Fi Children,Phantom Pop,Wild Party,2014-10-07,217440,45,0.53,0.000373,0.53,0.79,0.000742,0.244,-4.446,0.0369,84.011,4
11,First Two Days With You,Phantom Pop,Wild Party,2014-10-07,233720,31,0.49,0.0131,0.49,0.747,1.23e-06,0.137,-6.59,0.0348,111.0,4
12,Getaway,Getaway,Wild Party,2019-04-26,184271,33,0.622,0.00856,0.622,0.886,0.0,0.0927,-3.607,0.0416,99.984,4
13,Recipe,Recipe,Wild Party,2019-03-01,183925,34,0.549,0.0939,0.549,0.905,6.47e-06,0.209,-3.201,0.0364,98.013,4
