,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,i hope she loves me back,Wachito Rico,boy pablo,2020-10-23,200000,57,0.456,0.202,0.456,0.569,0.0431,0.0856,-10.121,0.0306,84.99,4
1,hey girl,Wachito Rico,boy pablo,2020-10-23,187000,57,0.585,0.00464,0.585,0.487,0.0605,0.0868,-10.038,0.0395,99.933,4
2,leave me alone!,Wachito Rico,boy pablo,2020-10-23,173932,54,0.697,0.0466,0.697,0.599,0.00627,0.548,-10.33,0.0313,115.97,4
3,honey,Wachito Rico,boy pablo,2020-10-23,254885,55,0.656,0.304,0.656,0.628,0.074,0.135,-10.161,0.0339,144.036,4
4,rest up,Wachito Rico,boy pablo,2020-10-23,204464,53,0.61,0.232,0.61,0.77,0.065,0.166,-6.428,0.0266,90.02,4
5,te vas // don’t go,Wachito Rico,boy pablo,2020-10-23,340965,55,0.613,0.922,0.613,0.193,0.109,0.123,-13.591,0.031,135.003,4
6,aleluya,Wachito Rico,boy pablo,2020-10-23,93264,52,0.707,0.941,0.707,0.274,0.0121,0.161,-13.121,0.0534,128.007,4
7,come home,Wachito Rico,boy pablo,2020-10-23,244020,53,0.574,0.0135,0.574,0.618,0.206,0.0927,-10.217,0.0255,100.032,4
8,mustache,Wachito Rico,boy pablo,2020-10-23,165000,53,0.652,0.000743,0.652,0.628,0.0057,0.18,-7.452,0.0253,106.992,4
9,vamos a la playa,Wachito Rico,boy pablo,2020-10-23,26431,16,0.494,0.973,0.494,0.336,0.904,0.67,-22.12,0.0595,110.522,3
10,wachito rico,Wachito Rico,boy pablo,2020-10-23,214146,64,0.702,0.0334,0.702,0.748,0.00296,0.104,-9.304,0.0463,123.02,4
11,nowadays,Wachito Rico,boy pablo,2020-10-23,79812,51,0.728,0.914,0.728,0.362,5e-05,0.354,-13.269,0.213,88.603,3
12,i <3 u,Wachito Rico,boy pablo,2020-10-23,255000,59,0.68,0.759,0.68,0.263,0.536,0.108,-13.079,0.0416,86.978,4
13,Feeling Lonely,Soy Pablo,boy pablo,2018-10-05,197946,68,0.635,0.014,0.635,0.537,3.72e-05,0.103,-10.45,0.0536,117.942,4
14,wtf,Soy Pablo,boy pablo,2018-10-05,72187,57,0.714,0.0496,0.714,0.567,0.000115,0.0586,-10.738,0.0325,127.972,4
15,Sick Feeling,Soy Pablo,boy pablo,2018-10-05,155714,61,0.425,0.022,0.425,0.504,3.84e-06,0.363,-10.003,0.0314,165.818,4
16,t-shirt,Soy Pablo,boy pablo,2018-10-05,167000,52,0.274,0.0038,0.274,0.613,0.000184,0.133,-11.557,0.0363,108.004,4
17,Limitado,Soy Pablo,boy pablo,2018-10-05,154054,49,0.459,0.228,0.459,0.458,0.0326,0.0896,-13.39,0.0303,148.138,4
18,Losing You,Soy Pablo,boy pablo,2018-10-05,186681,63,0.597,0.0111,0.597,0.771,4.68e-06,0.0987,-10.717,0.0394,104.008,4
19,tkm,Soy Pablo,boy pablo,2018-10-05,338000,60,0.546,0.14,0.546,0.508,0.0969,0.345,-11.842,0.0258,71.988,4
20,leave me alone!,leave me alone!,boy pablo,2020-09-22,173932,58,0.697,0.0466,0.697,0.599,0.00627,0.548,-10.33,0.0313,115.97,4
21,be with me,leave me alone!,boy pablo,2020-09-22,246562,55,0.722,0.00408,0.722,0.432,0.00058,0.486,-10.982,0.0308,111.997,4
22,rest up,rest up,boy pablo,2020-08-20,204464,55,0.61,0.232,0.61,0.77,0.065,0.166,-6.428,0.0266,90.02,4
23,people,rest up,boy pablo,2020-08-20,217062,51,0.587,0.546,0.587,0.345,0.398,0.138,-12.948,0.0282,110.006,3
24,honey,honey,boy pablo,2020-07-13,254885,62,0.656,0.304,0.656,0.628,0.074,0.135,-10.161,0.0339,144.036,4
