,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Waterboy,Waterboy,tobi lou,2019-06-12,192000,38,0.782,0.0872,0.782,0.672,0.0,0.138,-6.968,0.0453,130.008,4
1,Sailor,tobi lou and the Moon,tobi lou,2018-02-09,184917,37,0.859,0.618,0.859,0.625,0.0,0.111,-8.927,0.0593,122.011,4
2,Favorite Substitute (feat. Ryan Destiny),Live on Ice,tobi lou,2019-08-02,243819,40,0.504,0.545,0.504,0.41,0.0,0.153,-9.248,0.0878,140.969,5
3,Lingo Starr: RETURN OF THE DRAGON,LINGO STARR,tobi lou,2020-07-03,122156,50,0.764,0.189,0.764,0.522,0.0,0.16,-8.615,0.356,80.103,4
4,Cabin Fever,Cabin Fever,Jaden,2020-07-23,195535,68,0.729,0.134,0.729,0.874,0.00011,0.198,-5.585,0.0324,123.001,4
5,If I Ever Feel Better,United,Phoenix,2000-03-06,266600,67,0.755,0.0492,0.755,0.553,0.00607,0.0646,-9.449,0.107,119.7,4
6,Say So,Hot Pink,Doja Cat,2019-11-07,237893,86,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4
7,Cheap Vacations (feat. Facer),Live on Ice,tobi lou,2019-08-02,215999,49,0.652,0.0572,0.652,0.453,5.06e-05,0.114,-8.014,0.0718,80.057,4
8,Swing Lynn,I'm Sure,Harmless,2012-08-14,321463,73,0.462,0.0534,0.462,0.945,0.749,0.11,-1.888,0.0401,165.156,4
9,Marigolds,Marigolds,Early Eyes,2020-03-17,221625,42,0.701,0.0504,0.701,0.711,0.0304,0.14,-4.193,0.0322,133.027,4
10,Next Year - RAC Remix,Next Year (Remixes),Two Door Cinema Club,2013-01-01,286093,50,0.731,0.28,0.731,0.73,0.0,0.088,-6.728,0.0489,123.051,4
11,Lose My Mind (feat. Mr Gabriel),The Cure To Loneliness,Jai Wolf,2019-04-05,258546,62,0.606,0.0086,0.606,0.775,0.498,0.305,-6.038,0.04,140.013,4
12,8702,Live on Ice,tobi lou,2019-08-02,169845,39,0.876,0.024,0.876,0.48,0.0,0.113,-7.604,0.0431,115.004,4
13,The Blue,tobi lou and the Loop - EP,tobi lou,2018-04-27,113760,43,0.586,0.436,0.586,0.308,0.0,0.0988,-10.57,0.458,174.509,4
14,waves - Tame Impala Remix,Rogue Waves,Miguel,2016-02-26,253346,68,0.529,0.308,0.529,0.894,5.38e-06,0.254,-3.599,0.0412,108.024,4
15,"Dance, Baby!",Roy Pablo,boy pablo,2017-05-19,198000,71,0.602,0.037,0.602,0.601,0.0046,0.312,-8.521,0.0411,122.017,4
16,Lasso,Wolfgang Amadeus Phoenix,Phoenix,2009-05-25,167840,53,0.642,0.0208,0.642,0.628,0.00029,0.125,-7.272,0.0349,150.948,4
17,Lava,Lately EP,Still Woozy,2019-05-03,157303,65,0.62,0.304,0.62,0.616,0.00954,0.264,-10.071,0.143,169.139,4
18,Favorite Colors (feat. Kyle),Restoration of an American Idol,Taylor Bennett,2017-02-28,138959,50,0.745,0.703,0.745,0.668,0.000127,0.0907,-8.682,0.287,127.837,4
19,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010-04-27,268320,73,0.688,0.386,0.688,0.853,0.0,0.0862,-5.814,0.0493,103.993,4
20,Undercover Martyn,Tourist History,Two Door Cinema Club,2010-02-17,167773,65,0.442,0.00025,0.442,0.872,1.74e-05,0.0602,-5.072,0.123,159.867,4
21,No Fear No More (Remix),No Fear No More (Remix),Madeon,2020-07-07,174682,53,0.599,0.00988,0.599,0.635,6.39e-05,0.368,-6.5,0.103,95.919,4
22,Cocaine Jesus,RKS,Rainbow Kitten Surprise,2015-04-25,229666,66,0.822,0.16,0.822,0.362,0.0,0.313,-7.462,0.0411,119.903,4
23,kiss u better,kiss u better,Katzù Oso,2019-02-14,187826,48,0.55,0.0175,0.55,0.933,0.0838,0.152,-7.17,0.0463,115.072,4
24,Tongue Tied,Never Trust a Happy Song,Grouplove,2011-09-02,218013,82,0.56,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4
25,Wolfcat,Wolfcat,Still Woozy,2017-08-31,174221,62,0.662,0.749,0.662,0.48,0.000314,0.118,-12.58,0.0542,134.944,3
26,Lisztomania,Wolfgang Amadeus Phoenix,Phoenix,2009-05-25,241640,65,0.486,0.0339,0.486,0.784,0.00452,0.53,-6.68,0.0852,195.154,4
27,Window,Window,Still Woozy,2020-04-17,139293,72,0.714,0.436,0.714,0.483,2.3e-05,0.28,-9.378,0.195,91.025,4
28,Sadderday,tobi lou and the Juice,tobi lou,2018-08-10,216888,36,0.684,0.489,0.684,0.482,0.0,0.156,-11.801,0.0428,134.994,3
29,Remember When,Nothing Happens,Wallows,2019-03-22,155146,70,0.504,0.00112,0.504,0.708,0.000424,0.788,-5.896,0.0343,82.009,4
30,Endorphins,Endorphins,tobi lou,2020-09-04,205714,54,0.779,0.476,0.779,0.435,0.0,0.141,-11.0,0.117,139.988,4
31,Sofia,Immunity,Clairo,2019-08-02,188386,89,0.744,0.598,0.744,0.619,0.00372,0.231,-9.805,0.039,112.997,4
32,That Old Nu-Nu (feat. Erica René & Cam O'bi),Live on Ice,tobi lou,2019-08-02,225056,37,0.756,0.0734,0.756,0.667,4.98e-05,0.103,-7.888,0.0446,129.993,4
33,British Bombs,British Bombs,Declan McKenna,2019-08-19,297714,63,0.674,0.0462,0.674,0.865,0.0,0.381,-6.167,0.0412,131.975,4
34,eighty-five,eighty-five,again&again,2020-03-16,192315,55,0.71,0.09,0.71,0.618,3.93e-05,0.141,-8.865,0.0598,94.995,4
35,What You Know,Tourist History,Two Door Cinema Club,2010-02-17,191706,69,0.561,0.000715,0.561,0.741,1.4e-05,0.0822,-4.239,0.0419,139.001,4
36,Ipanema,Lately EP,Still Woozy,2019-05-03,127044,58,0.755,0.226,0.755,0.477,0.077,0.268,-11.461,0.218,147.451,4
37,Orange Reprise (feat. LEJKEYS),Live on Ice,tobi lou,2019-08-02,283665,36,0.549,0.0928,0.549,0.531,1.95e-06,0.101,-7.132,0.199,81.991,4
38,Skin Care Tutorial 2020,Skin Care Tutorial 2020,tobi lou,2020-04-03,173913,47,0.868,0.439,0.868,0.567,0.0,0.0947,-7.27,0.187,138.049,4
39,Honeydew,Honeydew,Smba,2018-07-18,201290,39,0.762,0.356,0.762,0.55,0.0,0.228,-10.697,0.0977,124.003,4
40,Needs,Needs,Verzache,2018-02-14,177479,76,0.813,0.189,0.813,0.601,0.0002,0.426,-7.552,0.116,118.981,4
41,1901,Wolfgang Amadeus Phoenix,Phoenix,2009-05-25,193106,67,0.591,0.0605,0.591,0.831,4.67e-05,0.19,-5.647,0.0415,144.084,4
42,Rainbow Bap,Rainbow Bap,Jaden,2020-08-14,280877,61,0.739,0.428,0.739,0.46,0.00107,0.125,-8.305,0.211,97.962,4
43,1999 WILDFIRE,1999 WILDFIRE,BROCKHAMPTON,2018-07-07,251250,67,0.811,0.253,0.811,0.57,0.0,0.148,-8.093,0.129,128.066,4
44,Sedona,Little Neon Limelight,Houndmouth,2015-03-17,239880,68,0.396,0.0372,0.396,0.677,0.000137,0.112,-7.513,0.0354,135.177,4
45,Someone In The Crowd,La La Land (Original Motion Picture Soundtrack),Various Artists,2016-12-09,259613,62,0.616,0.0906,0.616,0.538,8.98e-06,0.192,-9.165,0.17,127.948,4
46,Your Kind of Love,Your Kind of Love,tobi lou,2017-11-22,210247,35,0.869,0.145,0.869,0.503,0.0,0.123,-7.993,0.127,121.032,4
47,Onederful,Keep in Touch,Armani White,2019-11-08,282279,42,0.723,0.0721,0.723,0.607,0.0,0.364,-5.93,0.153,131.989,4
48,No Cap,No Cap,Blake and Miles,2020-07-10,200285,58,0.852,0.0945,0.852,0.554,0.000429,0.128,-8.971,0.0376,105.046,4
49,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),Calvin Harris,2017-02-24,230813,73,0.736,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4
