,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Lingo Starr: RETURN OF THE DRAGON,LINGO STARR,tobi lou,2020-07-03,122156,50,0.764,0.189,0.764,0.522,0.0,0.16,-8.615,0.356,80.103,4
1,Cabin Fever,Cabin Fever,Jaden,2020-07-23,195535,68,0.729,0.134,0.729,0.874,0.00011,0.198,-5.585,0.0324,123.001,4
2,Marigolds,Marigolds,Early Eyes,2020-03-17,221625,42,0.701,0.0504,0.701,0.711,0.0304,0.14,-4.193,0.0322,133.027,4
3,No Fear No More (Remix),No Fear No More (Remix),Madeon,2020-07-07,174682,53,0.599,0.00988,0.599,0.635,6.39e-05,0.368,-6.5,0.103,95.919,4
4,kiss u better,kiss u better,Katzù Oso,2019-02-14,187826,48,0.55,0.0175,0.55,0.933,0.0838,0.152,-7.17,0.0463,115.072,4
5,Endorphins,Endorphins,tobi lou,2020-09-04,205714,54,0.779,0.476,0.779,0.435,0.0,0.141,-11.0,0.117,139.988,4
6,Sofia,Immunity,Clairo,2019-08-02,188386,89,0.744,0.598,0.744,0.619,0.00372,0.231,-9.805,0.039,112.997,4
7,British Bombs,British Bombs,Declan McKenna,2019-08-19,297714,63,0.674,0.0462,0.674,0.865,0.0,0.381,-6.167,0.0412,131.975,4
8,eighty-five,eighty-five,again&again,2020-03-16,192315,55,0.71,0.09,0.71,0.618,3.93e-05,0.141,-8.865,0.0598,94.995,4
9,Swing Lynn,I'm Sure,Harmless,2012-08-14,321463,73,0.462,0.0534,0.462,0.945,0.749,0.11,-1.888,0.0401,165.156,4
10,Rainbow Bap,Rainbow Bap,Jaden,2020-08-14,280877,61,0.739,0.428,0.739,0.46,0.00107,0.125,-8.305,0.211,97.962,4
11,Waterboy,Waterboy,tobi lou,2019-06-12,192000,38,0.782,0.0872,0.782,0.672,0.0,0.138,-6.968,0.0453,130.008,4
12,No Cap,No Cap,Blake and Miles,2020-07-10,200285,58,0.852,0.0945,0.852,0.554,0.000429,0.128,-8.971,0.0376,105.046,4
13,"Oh, the Moon! - Acoustic","Oh, the Moon! (Acoustic)",AJ Abdullah,2020-03-06,195000,39,0.539,0.95,0.539,0.166,6.13e-06,0.0949,-17.708,0.0492,83.239,4
14,Lingo Starr: STRIKES BACK,LINGO STARR,tobi lou,2020-07-03,145173,48,0.752,0.148,0.752,0.653,6.97e-06,0.155,-6.747,0.0611,79.934,4
15,Why,What Could Possibly Go Wrong,Dominic Fike,2020-07-31,139906,64,0.684,0.342,0.684,0.856,0.00728,0.109,-2.676,0.0411,117.027,4
16,Sleeping On My Dreams,Djesse Vol. 3,Jacob Collier,2020-08-14,256786,53,0.769,0.613,0.769,0.523,3.63e-05,0.122,-6.505,0.0505,111.071,4
17,Can't Explain It (feat. Charlie Wilson),Can't Explain It (feat. Charlie Wilson),CHIKA,2019-11-22,189376,45,0.705,0.0888,0.705,0.748,0.0,0.212,-4.0,0.238,147.972,4
18,Summerhouse,EVERYTHING,Kota the Friend,2020-05-22,208500,57,0.746,0.121,0.746,0.536,0.0,0.345,-9.495,0.482,141.024,4
19,Favorite Substitute (feat. Ryan Destiny),Live on Ice,tobi lou,2019-08-02,243819,40,0.504,0.545,0.504,0.41,0.0,0.153,-9.248,0.0878,140.969,5
20,Next To Me,Evolve,Imagine Dragons,2017-06-23,230288,71,0.301,0.28,0.301,0.672,3.1e-05,0.0609,-4.497,0.0623,169.497,3
21,SONGS ABOUT YOU,INDUSTRY GAMES,CHIKA,2020-03-13,241612,56,0.601,0.599,0.601,0.446,0.0,0.345,-6.327,0.415,77.707,4
22,Lingo Starr: DRUNKEN MASTER,LINGO STARR,tobi lou,2020-07-03,101576,45,0.849,0.091,0.849,0.585,0.0,0.328,-6.693,0.212,134.472,4
23,Wolfcat,Wolfcat,Still Woozy,2017-08-31,174221,62,0.662,0.749,0.662,0.48,0.000314,0.118,-12.58,0.0542,134.944,3
24,BS,BS,Still Woozy,2020-09-10,133986,68,0.616,0.503,0.616,0.458,0.0035,0.115,-11.832,0.0455,79.574,3
25,Life's Too Short,Phantom Pop,Wild Party,2014-10-07,221626,46,0.524,0.000965,0.524,0.831,0.0,0.0904,-5.25,0.0287,93.003,4
26,Orange Juice,Santa Fe,Lostboycrow,2019-04-19,227346,50,0.703,0.149,0.703,0.689,0.213,0.58,-7.739,0.0335,100.011,4
27,Sailor,tobi lou and the Moon,tobi lou,2018-02-09,184917,37,0.859,0.618,0.859,0.625,0.0,0.111,-8.927,0.0593,122.011,4
28,Remember When,Nothing Happens,Wallows,2019-03-22,155146,70,0.504,0.00112,0.504,0.708,0.000424,0.788,-5.896,0.0343,82.009,4
29,Mango,Mango,Peach Tree Rascals,2019-10-02,191072,60,0.87,0.0209,0.87,0.587,3.18e-06,0.0888,-6.117,0.0406,122.939,4
30,DESIGNER,INDUSTRY GAMES,CHIKA,2020-03-13,263554,43,0.712,0.163,0.712,0.61,0.0,0.803,-6.441,0.244,77.998,4
31,Next Year - RAC Remix,Next Year (Remixes),Two Door Cinema Club,2013-01-01,286093,50,0.731,0.28,0.731,0.73,0.0,0.088,-6.728,0.0489,123.051,4
32,VERY ALONE,VERY ALONE,Zaia,2020-05-13,131146,53,0.928,0.15,0.928,0.559,0.0401,0.0963,-12.164,0.0395,103.017,4
33,ACID TRIP,The Moon & You,Rejjie Snow,2017-05-17,188293,59,0.72,0.0359,0.72,0.562,0.0,0.126,-7.642,0.0367,98.943,4
34,Crying in the Club,Live on Ice,tobi lou,2019-08-02,201593,33,0.766,0.58,0.766,0.779,0.0,0.131,-5.773,0.109,150.073,4
35,Isabella of Castile,Starfucker,STRFKR,2008-09-23,271026,44,0.488,0.00403,0.488,0.751,0.69,0.239,-6.243,0.0343,82.991,4
36,The Ocean With My Friends,The Ocean With My Friends,Dre'es,2018-09-19,172059,46,0.377,0.894,0.377,0.277,0.119,0.145,-16.897,0.0467,164.262,4
37,Someone In The Crowd,La La Land (Original Motion Picture Soundtrack),Various Artists,2016-12-09,259613,62,0.616,0.0906,0.616,0.538,8.98e-06,0.192,-9.165,0.17,127.948,4
38,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),Calvin Harris,2017-02-24,230813,73,0.736,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4
39,Levitating,Future Nostalgia,Dua Lipa,2020-03-27,203807,78,0.695,0.0561,0.695,0.884,0.0,0.213,-2.278,0.0753,103.014,4
40,Throwaway (with Clairo),Dawn,SG Lewis,2019-06-21,180000,69,0.789,0.784,0.789,0.49,0.000598,0.112,-6.588,0.0392,140.034,4
41,"Dance, Baby!",Roy Pablo,boy pablo,2017-05-19,198000,71,0.602,0.037,0.602,0.601,0.0046,0.312,-8.521,0.0411,122.017,4
42,Favorite Colors (feat. Kyle),Restoration of an American Idol,Taylor Bennett,2017-02-28,138959,50,0.745,0.703,0.745,0.668,0.000127,0.0907,-8.682,0.287,127.837,4
43,Money,Portamento,The Drums,2011-09-06,233655,62,0.603,0.216,0.603,0.918,0.146,0.287,-6.652,0.0641,102.473,4
44,Student Loans,Student Loans,tobi lou,2020-10-01,124638,56,0.676,0.511,0.676,0.668,0.0,0.121,-8.763,0.192,151.857,4
45,Sedona,Little Neon Limelight,Houndmouth,2015-03-17,239880,68,0.396,0.0372,0.396,0.677,0.000137,0.112,-7.513,0.0354,135.177,4
46,ON MY WAY,INDUSTRY GAMES,CHIKA,2020-03-13,193104,46,0.388,0.799,0.388,0.593,0.0,0.259,-9.012,0.316,176.931,3
47,Lava,Lately EP,Still Woozy,2019-05-03,157303,65,0.62,0.304,0.62,0.616,0.00954,0.264,-10.071,0.143,169.139,4
48,Up Up & Away,Man On The Moon: The End Of Day (Deluxe),Kid Cudi,2009-01-01,227346,60,0.66,0.0722,0.66,0.881,3.4e-05,0.362,-6.119,0.0849,120.017,4
49,Walking the Dog - RAC Mix,Aim and Ignite (Deluxe Version),fun.,2009,270593,29,0.751,0.0325,0.751,0.686,0.00121,0.111,-6.044,0.0651,108.525,4
