,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Life's Too Short,Phantom Pop,Wild Party,2014-10-07,221626,46,0.524,0.000965,0.524,0.831,0.0,0.0904,-5.25,0.0287,93.003,4
1,Up Up & Away,Man On The Moon: The End Of Day (Deluxe),Kid Cudi,2009-01-01,227346,60,0.66,0.0722,0.66,0.881,3.4e-05,0.362,-6.119,0.0849,120.017,4
2,Notice Me,Notice Me,tobi lou,2020-10-21,155742,56,0.373,0.893,0.373,0.437,1.01e-06,0.362,-11.329,0.0367,86.779,3
3,BLUEBIRD,BLUEBIRD,Ben Beal,2020-06-24,174007,43,0.881,0.294,0.881,0.665,0.0261,0.109,-9.487,0.117,123.3,4
4,Puppy Dog,Puppy Dog,Dreamer Boy,2019-12-10,210281,60,0.689,0.173,0.689,0.545,4.9e-05,0.347,-8.289,0.0377,113.997,4
5,No Fear No More (Remix),No Fear No More (Remix),Madeon,2020-07-07,174682,53,0.599,0.00988,0.599,0.635,6.39e-05,0.368,-6.5,0.103,95.919,4
6,Waterboy,Waterboy,tobi lou,2019-06-12,192000,38,0.782,0.0872,0.782,0.672,0.0,0.138,-6.968,0.0453,130.008,4
7,Summerhouse,EVERYTHING,Kota the Friend,2020-05-22,208500,57,0.746,0.121,0.746,0.536,0.0,0.345,-9.495,0.482,141.024,4
8,The Ocean With My Friends,The Ocean With My Friends,Dre'es,2018-09-19,172059,46,0.377,0.894,0.377,0.277,0.119,0.145,-16.897,0.0467,164.262,4
9,tearing me apart,tearing me apart,ernest rareberrg,2019-04-24,143946,38,0.654,0.0184,0.654,0.844,0.0,0.302,-5.369,0.126,82.75,4
10,80 Degrees,80 Degrees / Velvet,Isaac Lewis,2020-01-08,205764,45,0.754,0.786,0.754,0.454,0.000137,0.0991,-6.206,0.113,85.069,4
11,Levitating,Future Nostalgia,Dua Lipa,2020-03-27,203807,78,0.695,0.0561,0.695,0.884,0.0,0.213,-2.278,0.0753,103.014,4
12,eighty-five,eighty-five,again&again,2020-03-16,192315,55,0.71,0.09,0.71,0.618,3.93e-05,0.141,-8.865,0.0598,94.995,4
13,Dirty AF1s,I'm Sorry I Love You - EP,Alexander 23,2019-10-25,137000,63,0.687,0.756,0.687,0.668,0.0,0.113,-5.99,0.385,87.175,4
14,Empire Ants (feat. Little Dragon),Plastic Beach,Gorillaz,2010-03-03,283573,65,0.601,0.181,0.601,0.772,0.0543,0.0928,-4.137,0.031,99.445,4
15,Lucy Lucy,Falling,Betcha,2019-09-13,214533,45,0.5,0.00741,0.5,0.79,0.0,0.332,-4.313,0.0342,133.115,4
16,Next To Me,Evolve,Imagine Dragons,2017-06-23,230288,71,0.301,0.28,0.301,0.672,3.1e-05,0.0609,-4.497,0.0623,169.497,3
17,10%,BUBBA,KAYTRANADA,2019-12-13,186680,68,0.794,0.0267,0.794,0.757,0.000306,0.0621,-6.644,0.123,107.99,4
18,British Bombs,British Bombs,Declan McKenna,2019-08-19,297714,63,0.674,0.0462,0.674,0.865,0.0,0.381,-6.167,0.0412,131.975,4
19,Cabin Fever,Cabin Fever,Jaden,2020-07-23,195535,68,0.729,0.134,0.729,0.874,0.00011,0.198,-5.585,0.0324,123.001,4
20,Swing Lynn,I'm Sure,Harmless,2012-08-14,321463,73,0.462,0.0534,0.462,0.945,0.749,0.11,-1.888,0.0401,165.156,4
21,Sedona,Little Neon Limelight,Houndmouth,2015-03-17,239880,68,0.396,0.0372,0.396,0.677,0.000137,0.112,-7.513,0.0354,135.177,4
22,Celebration,Celebrate!,Kool & The Gang,1980-09-29,298866,67,0.885,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,121.632,4
23,Window,Window,Still Woozy,2020-04-17,139293,72,0.714,0.436,0.714,0.483,2.3e-05,0.28,-9.378,0.195,91.025,4
24,Fopspeen (Bound 2 U),Fopspeen (Bound 2 U),Hush,2016-02-10,216727,26,0.684,0.105,0.684,0.536,0.0,0.299,-6.852,0.0536,82.503,4
25,Remember When,Nothing Happens,Wallows,2019-03-22,155146,70,0.504,0.00112,0.504,0.708,0.000424,0.788,-5.896,0.0343,82.009,4
26,This Is the Life,Tourist History,Two Door Cinema Club,2010-02-17,210733,51,0.457,5.33e-05,0.457,0.806,0.0124,0.0869,-5.434,0.107,136.016,4
27,Sleeping On My Dreams,Djesse Vol. 3,Jacob Collier,2020-08-14,256786,53,0.769,0.613,0.769,0.523,3.63e-05,0.122,-6.505,0.0505,111.071,4
28,Why,What Could Possibly Go Wrong,Dominic Fike,2020-07-31,139906,64,0.684,0.342,0.684,0.856,0.00728,0.109,-2.676,0.0411,117.027,4
29,"City Of Stars - From ""La La Land"" Soundtrack",La La Land (Original Motion Picture Soundtrack),Various Artists,2016-12-09,149706,65,0.492,0.899,0.492,0.116,1.93e-06,0.0889,-15.15,0.0379,111.787,4
30,Rainbow Bap,Rainbow Bap,Jaden,2020-08-14,280877,61,0.739,0.428,0.739,0.46,0.00107,0.125,-8.305,0.211,97.962,4
31,LEMONHEAD,Lemonhead,Kid Bloom,2019-08-02,211333,44,0.563,0.00532,0.563,0.9,1.42e-05,0.0479,-4.898,0.171,177.101,3
32,And the Beat Goes On,The Whispers: Greatest Hits,The Whispers,1987,454253,53,0.793,0.134,0.793,0.643,0.00246,0.0361,-7.345,0.106,114.894,4
33,Get Down On It,The Very Best Of Kool & The Gang (Reissue),Kool & The Gang,1999-03-01,212906,73,0.879,0.205,0.879,0.626,6.07e-05,0.056,-6.344,0.0604,110.864,4
34,Lava,Lately EP,Still Woozy,2019-05-03,157303,65,0.62,0.304,0.62,0.616,0.00954,0.264,-10.071,0.143,169.139,4
35,Flowers (feat. Father),Atlanta Millionaires Club,Faye Webster,2019-05-24,261666,45,0.675,0.661,0.675,0.21,7.02e-05,0.149,-15.065,0.164,78.015,4
36,Broke,Broke,Samm Henshaw,2018-08-08,207722,62,0.751,0.433,0.751,0.684,5.92e-06,0.18,-4.325,0.303,89.984,4
37,Work For You (feat. Kaz Moon),Irene,Medasin,2018-08-10,182320,53,0.783,0.312,0.783,0.7,0.000125,0.113,-7.138,0.0605,130.04,4
38,Can I Call You Tonight?,Fuzzybrain,Dayglow,2019-11-14,278769,82,0.641,0.132,0.641,0.842,0.91,0.419,-7.27,0.0292,129.98,4
39,Kiss Her You Fool,Kiss Her You Fool,Kids That Fly,2019-11-20,163372,46,0.51,0.00967,0.51,0.744,0.000818,0.132,-8.195,0.0317,105.041,4
40,Warm (feat. Mia),Warm (feat. Mia),Dre'es,2017-10-19,255465,66,0.662,0.888,0.662,0.297,0.108,0.119,-14.525,0.0301,94.023,4
41,"Dance, Baby!",Roy Pablo,boy pablo,2017-05-19,198000,71,0.602,0.037,0.602,0.601,0.0046,0.312,-8.521,0.0411,122.017,4
42,Say So,Hot Pink,Doja Cat,2019-11-07,237893,86,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4
43,waves - Tame Impala Remix,Rogue Waves,Miguel,2016-02-26,253346,68,0.529,0.308,0.529,0.894,5.38e-06,0.254,-3.599,0.0412,108.024,4
44,Call Me,Elevator Fight Club,Elevator Fight Club,2018-08-10,224000,45,0.441,0.115,0.441,0.862,0.00418,0.31,-7.987,0.0721,157.342,4
45,kiss u better,kiss u better,Katzù Oso,2019-02-14,187826,48,0.55,0.0175,0.55,0.933,0.0838,0.152,-7.17,0.0463,115.072,4
46,Marigolds,Marigolds,Early Eyes,2020-03-17,221625,42,0.701,0.0504,0.701,0.711,0.0304,0.14,-4.193,0.0322,133.027,4
47,Mango,Mango,Peach Tree Rascals,2019-10-02,191072,60,0.87,0.0209,0.87,0.587,3.18e-06,0.0888,-6.117,0.0406,122.939,4
48,Wolfcat,Wolfcat,Still Woozy,2017-08-31,174221,62,0.662,0.749,0.662,0.48,0.000314,0.118,-12.58,0.0542,134.944,3
49,Lo Mein,Eternal Atake,Lil Uzi Vert,2020-03-06,195299,71,0.855,0.0888,0.855,0.676,0.0,0.144,-5.736,0.325,133.082,4
