,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Circa 2015,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,131714,60,0.508,0.783,0.508,0.471,9.25e-05,0.25,-10.718,0.0385,81.995,4
1,Falling For You with Justin Bieber,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,222717,71,0.69,0.721,0.69,0.541,4.64e-05,0.112,-9.259,0.042,130.024,4
2,Rainbow Bap,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,280308,64,0.73,0.438,0.73,0.46,0.00102,0.126,-8.301,0.224,97.947,4
3,LUCY!,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,127837,60,0.519,0.652,0.519,0.591,0.00153,0.174,-9.135,0.0557,157.995,4
4,Everything,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,168901,58,0.726,0.224,0.726,0.521,2e-06,0.183,-7.409,0.06,74.976,4
5,In The Hills,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,152677,58,0.489,0.601,0.489,0.371,0.000567,0.194,-10.839,0.0328,80.272,4
6,Bad Connection,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,104492,57,0.72,0.416,0.72,0.742,0.000396,0.238,-8.913,0.239,160.089,4
7,Muted Sunrise,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,142649,55,0.644,0.617,0.644,0.482,0.00309,0.121,-8.537,0.0304,144.017,3
8,Young In Love,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,291297,58,0.732,0.527,0.732,0.633,6.41e-05,0.174,-6.404,0.271,99.044,4
9,Cabin Fever,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,195214,66,0.727,0.131,0.727,0.867,0.000135,0.208,-5.682,0.0319,123.009,4
10,Photograph,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,141302,59,0.378,0.948,0.378,0.242,3.8e-06,0.131,-12.409,0.034,130.019,3
11,Drops Of Sun,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,140229,55,0.603,0.473,0.603,0.296,0.0144,0.0902,-12.291,0.027,132.133,4
12,Sunburnt,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,188762,54,0.716,0.895,0.716,0.406,3.55e-06,0.193,-10.15,0.0534,98.073,4
13,Deep End,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,239641,59,0.704,0.17,0.704,0.632,0.000508,0.109,-7.001,0.0276,90.007,4
14,Endless Summer feat. Raury,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,209644,54,0.734,0.711,0.734,0.665,2.7e-05,0.114,-6.879,0.388,102.023,4
15,The Birth Of SYRE,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,133967,53,0.398,0.892,0.398,0.234,0.0264,0.0842,-14.704,0.039,101.543,3
16,Boys And Girls,CTV3: Cool Tape Vol. 3,Jaden,2020-08-28,222032,58,0.664,0.466,0.664,0.449,1.77e-06,0.117,-10.03,0.0322,83.981,4
17,P,ERYS (Deluxe),Jaden,2019-07-05,168280,49,0.401,0.326,0.401,0.287,9.07e-06,0.261,-8.236,0.0264,86.649,4
18,I,ERYS (Deluxe),Jaden,2019-07-05,130346,53,0.608,0.307,0.608,0.862,0.0,0.419,-4.213,0.273,174.091,4
19,N,ERYS (Deluxe),Jaden,2019-07-05,231026,50,0.402,0.329,0.402,0.483,0.0,0.14,-9.139,0.345,173.994,4
20,K,ERYS (Deluxe),Jaden,2019-07-05,280720,55,0.492,0.265,0.492,0.635,0.0,0.122,-6.779,0.371,174.148,4
21,NOIZE,ERYS (Deluxe),Jaden,2019-07-05,247760,52,0.47,0.113,0.47,0.794,0.0,0.119,-3.642,0.114,160.12,4
22,i-drip-or-is,ERYS (Deluxe),Jaden,2019-07-05,237013,47,0.73,0.239,0.73,0.719,2.25e-06,0.104,-6.325,0.205,82.944,4
23,Again,ERYS (Deluxe),Jaden,2019-07-05,269813,58,0.62,0.522,0.62,0.577,6.78e-05,0.168,-6.479,0.0687,81.499,4
24,Got It,ERYS (Deluxe),Jaden,2019-07-05,76693,47,0.802,0.101,0.802,0.673,7.33e-06,0.109,-5.108,0.248,150.915,4
25,Fire Dept,ERYS (Deluxe),Jaden,2019-07-05,102346,46,0.458,0.344,0.458,0.956,0.0,0.352,-2.858,0.352,108.884,4
26,Mission,ERYS (Deluxe),Jaden,2019-07-05,251333,47,0.684,0.202,0.684,0.825,6.04e-05,0.0899,-3.517,0.238,80.307,4
27,Summertime In Paris,ERYS (Deluxe),Jaden,2019-07-05,270960,77,0.569,0.135,0.569,0.86,0.0,0.153,-4.116,0.043,90.937,4
28,Blackout,ERYS (Deluxe),Jaden,2019-07-05,400666,50,0.45,0.354,0.45,0.473,0.00295,0.0843,-8.997,0.0476,133.926,4
29,Pain,ERYS (Deluxe),Jaden,2019-07-05,375320,45,0.397,0.272,0.397,0.586,9.06e-05,0.18,-7.242,0.104,151.31,3
30,Chateau,ERYS (Deluxe),Jaden,2019-07-05,135880,51,0.759,0.251,0.759,0.812,0.0,0.348,-4.257,0.251,139.911,4
31,On My Own,ERYS (Deluxe),Jaden,2019-07-05,244720,65,0.344,0.0214,0.344,0.843,0.00345,0.189,-3.711,0.0422,97.5,4
32,Riot,ERYS (Deluxe),Jaden,2019-07-05,274986,44,0.39,0.105,0.39,0.605,0.0,0.172,-6.897,0.144,75.128,4
33,ERYS,ERYS (Deluxe),Jaden,2019-07-05,471813,41,0.326,0.753,0.326,0.577,1.56e-05,0.382,-9.843,0.106,95.502,4
34,Beautiful Disruption,ERYS (Deluxe),Jaden,2019-07-05,138031,42,0.567,0.149,0.567,0.855,0.0,0.132,-3.377,0.0708,160.071,4
35,Somebody Else,ERYS (Deluxe),Jaden,2019-07-05,222031,49,0.469,0.766,0.469,0.278,0.0,0.13,-11.274,0.0262,90.03,4
36,Ghost - Remix,ERYS (Deluxe),Jaden,2019-07-05,162220,47,0.77,0.144,0.77,0.589,8.61e-06,0.178,-4.942,0.111,148.056,4
37,P,ERYS,Jaden,2019-07-05,168280,26,0.401,0.326,0.401,0.287,9.07e-06,0.261,-8.236,0.0264,86.649,4
38,I,ERYS,Jaden,2019-07-05,130346,30,0.608,0.307,0.608,0.862,0.0,0.419,-4.213,0.273,174.091,4
39,N,ERYS,Jaden,2019-07-05,231026,27,0.402,0.329,0.402,0.483,0.0,0.14,-9.139,0.345,173.994,4
40,K,ERYS,Jaden,2019-07-05,280720,30,0.492,0.265,0.492,0.635,0.0,0.122,-6.779,0.371,174.148,4
41,NOIZE,ERYS,Jaden,2019-07-05,247760,30,0.47,0.113,0.47,0.794,0.0,0.119,-3.642,0.114,160.12,4
42,i-drip-or-is,ERYS,Jaden,2019-07-05,237013,24,0.73,0.239,0.73,0.719,2.25e-06,0.104,-6.325,0.205,82.944,4
43,Again,ERYS,Jaden,2019-07-05,269813,27,0.62,0.522,0.62,0.577,6.78e-05,0.168,-6.479,0.0687,81.499,4
44,Got It,ERYS,Jaden,2019-07-05,76693,25,0.802,0.101,0.802,0.673,7.33e-06,0.109,-5.108,0.248,150.915,4
45,Fire Dept,ERYS,Jaden,2019-07-05,102346,22,0.458,0.344,0.458,0.956,0.0,0.352,-2.858,0.352,108.884,4
46,Mission,ERYS,Jaden,2019-07-05,251333,24,0.684,0.202,0.684,0.825,6.04e-05,0.0899,-3.517,0.238,80.307,4
47,Summertime In Paris,ERYS,Jaden,2019-07-05,270960,48,0.569,0.135,0.569,0.86,0.0,0.153,-4.116,0.043,90.937,4
48,Blackout,ERYS,Jaden,2019-07-05,400666,25,0.45,0.354,0.45,0.473,0.00295,0.0843,-8.997,0.0476,133.926,4
49,Pain,ERYS,Jaden,2019-07-05,375320,22,0.397,0.272,0.397,0.586,9.06e-05,0.18,-7.242,0.104,151.31,3
50,Chateau,ERYS,Jaden,2019-07-05,135880,27,0.759,0.251,0.759,0.812,0.0,0.348,-4.257,0.251,139.911,4
51,On My Own,ERYS,Jaden,2019-07-05,244720,41,0.344,0.0214,0.344,0.843,0.00345,0.189,-3.711,0.0422,97.5,4
52,Riot,ERYS,Jaden,2019-07-05,274986,21,0.39,0.105,0.39,0.605,0.0,0.172,-6.897,0.144,75.128,4
53,ERYS,ERYS,Jaden,2019-07-05,471813,20,0.326,0.753,0.326,0.577,1.56e-05,0.382,-9.843,0.106,95.502,4
54,SOHO,The Sunset Tapes: A Cool Tape Story,Jaden,2018-11-17,208493,70,0.547,0.342,0.547,0.596,0.335,0.148,-7.744,0.192,159.985,4
55,A Calabasas Freestyle,The Sunset Tapes: A Cool Tape Story,Jaden,2018-11-17,179333,49,0.707,0.141,0.707,0.746,0.0141,0.145,-5.448,0.172,82.477,4
56,Play This On A Mountain At Sunset,The Sunset Tapes: A Cool Tape Story,Jaden,2018-11-17,341346,42,0.345,0.9,0.345,0.301,0.000428,0.182,-12.883,0.0335,82.656,3
57,Plastic,The Sunset Tapes: A Cool Tape Story,Jaden,2018-11-17,136760,52,0.759,0.201,0.759,0.733,0.0,0.13,-7.015,0.165,144.96,4
58,Distant,The Sunset Tapes: A Cool Tape Story,Jaden,2018-11-17,366120,44,0.372,0.814,0.372,0.575,0.000226,0.0925,-12.311,0.376,157.75,4
59,Better Things,The Sunset Tapes: A Cool Tape Story,Jaden,2018-11-17,109733,46,0.81,0.277,0.81,0.543,0.0,0.308,-6.147,0.22,79.973,4
