,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Summerhouse,EVERYTHING,Kota the Friend,2020-05-22,208500,57,0.746,0.121,0.746,0.536,0.0,0.345,-9.495,0.482,141.024,4
1,Mi Casa,EVERYTHING,Kota the Friend,2020-05-22,206636,53,0.87,0.495,0.87,0.656,0.0,0.523,-8.377,0.293,130.013,4
2,B.Q.E,EVERYTHING,Kota the Friend,2020-05-22,263710,59,0.73,0.122,0.73,0.557,0.0,0.152,-8.302,0.258,139.785,4
3,Long Beach,EVERYTHING,Kota the Friend,2020-05-22,252778,67,0.809,0.0685,0.809,0.613,0.0,0.107,-8.402,0.175,104.991,4
4,Lupita's Interlude,EVERYTHING,Kota the Friend,2020-05-22,58881,40,0.662,0.738,0.662,0.452,0.0449,0.125,-10.206,0.332,90.247,4
5,Away Park,EVERYTHING,Kota the Friend,2020-05-22,253386,49,0.616,0.79,0.616,0.488,0.0,0.151,-9.748,0.492,129.322,4
6,Volvo,EVERYTHING,Kota the Friend,2020-05-22,180094,49,0.844,0.296,0.844,0.526,0.0,0.121,-10.182,0.329,160.067,4
7,Morocco,EVERYTHING,Kota the Friend,2020-05-22,181353,51,0.804,0.152,0.804,0.59,0.0,0.109,-7.84,0.389,160.054,4
8,Seven (Interlude),EVERYTHING,Kota the Friend,2020-05-22,136501,42,0.521,0.266,0.521,0.493,0.0,0.11,-9.226,0.245,139.513,4
9,Always,EVERYTHING,Kota the Friend,2020-05-22,282975,48,0.75,0.349,0.75,0.721,0.0,0.189,-8.375,0.568,144.415,4
10,Lakeith's Interlude,EVERYTHING,Kota the Friend,2020-05-22,41749,38,0.483,0.993,0.483,0.47,0.371,0.113,-9.378,0.0497,65.636,3
11,Everything,EVERYTHING,Kota the Friend,2020-05-22,209280,50,0.914,0.238,0.914,0.57,0.0,0.127,-7.76,0.25,140.103,4
12,Summerhouse - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,208500,17,0.728,0.103,0.728,0.516,0.0,0.315,-10.285,0.471,140.981,4
13,Mi Casa - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,206636,10,0.871,0.485,0.871,0.638,0.0,0.482,-8.998,0.304,129.996,4
14,B.Q.E - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,263573,16,0.721,0.146,0.721,0.536,0.0,0.123,-8.732,0.262,139.786,4
15,Long Beach - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,252778,19,0.811,0.0827,0.811,0.592,0.0,0.106,-8.992,0.18,104.961,4
16,Lupita's Interlude,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,58881,14,0.695,0.721,0.695,0.448,0.00609,0.123,-10.854,0.321,90.085,4
17,Away Park,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,253386,25,0.616,0.797,0.616,0.491,0.0,0.152,-9.614,0.464,129.699,4
18,Volvo - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,180094,5,0.85,0.326,0.85,0.502,1.18e-06,0.175,-10.762,0.286,160.062,4
19,Morocco - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,181203,6,0.808,0.158,0.808,0.563,0.0,0.109,-8.467,0.396,160.082,4
20,Seven (Interlude) - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,136459,4,0.579,0.288,0.579,0.484,0.0,0.109,-9.683,0.226,139.358,4
21,Always - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,282975,7,0.753,0.34,0.753,0.701,0.0,0.185,-8.955,0.611,144.352,4
22,Lakeith's Interlude,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,41749,6,0.382,0.993,0.382,0.411,0.32,0.113,-10.218,0.0548,65.824,3
23,Everything - Radio Edit,EVERYTHING (Radio Edit),Kota the Friend,2020-05-21,209280,9,0.92,0.249,0.92,0.56,0.0,0.126,-8.068,0.277,140.072,4
24,Can't Please Everybody,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,107403,42,0.684,0.887,0.684,0.801,0.0,0.111,-6.484,0.27,89.95,4
25,Lazy River,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,71368,39,0.542,0.606,0.542,0.96,0.0,0.115,-5.834,0.666,170.65,1
26,She,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,84000,44,0.722,0.863,0.722,0.809,3.79e-05,0.139,-4.348,0.184,80.023,4
27,Open on Sunday,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,106666,42,0.618,0.423,0.618,0.897,0.0,0.133,-4.653,0.252,89.288,4
28,New York With Love,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,68142,39,0.648,0.826,0.648,0.935,0.0,0.11,-6.333,0.63,139.9,4
29,Hero,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,85333,34,0.62,0.816,0.62,0.788,0.0,0.149,-5.52,0.192,89.962,4
30,Berlin,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,98181,35,0.666,0.316,0.666,0.786,0.0,0.108,-4.717,0.377,87.023,4
31,Forks,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,68000,38,0.544,0.647,0.544,0.928,0.0,0.0928,-6.395,0.907,82.41,4
32,Flu Game,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,74666,34,0.496,0.793,0.496,0.671,0.0,0.0978,-5.826,0.25,180.515,4
33,Retirement Plan,"Lyrics to Go, Vol. 1",Kota the Friend,2020-01-20,108000,36,0.585,0.697,0.585,0.867,0.0,0.109,-5.555,0.371,80.672,4
34,Full Bloom,FOTO,Kota the Friend,2019-05-15,166124,26,0.493,0.424,0.493,0.677,0.0,0.348,-9.353,0.489,86.46,4
35,Church,FOTO,Kota the Friend,2019-05-15,262620,30,0.908,0.394,0.908,0.453,0.0,0.137,-7.311,0.294,113.922,4
