,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,J-Boy,Ti Amo,Phoenix,2017-06-09,248213,48,0.518,0.034,0.518,0.909,0.00938,0.141,-6.76,0.0475,97.996,4
1,Ti Amo,Ti Amo,Phoenix,2017-06-09,205920,45,0.625,0.00426,0.625,0.7,0.0949,0.0737,-6.809,0.0402,121.081,3
2,Tuttifrutti,Ti Amo,Phoenix,2017-06-09,232680,40,0.629,0.000449,0.629,0.735,0.00786,0.318,-6.983,0.0312,115.985,4
3,Fior Di Latte,Ti Amo,Phoenix,2017-06-09,243733,41,0.568,0.195,0.568,0.503,0.000224,0.183,-8.584,0.0308,130.041,4
4,Lovelife,Ti Amo,Phoenix,2017-06-09,151266,36,0.593,0.00026,0.593,0.705,0.0388,0.344,-7.668,0.0308,123.974,4
5,Goodbye Soleil,Ti Amo,Phoenix,2017-06-09,235773,41,0.608,0.022,0.608,0.781,7.43e-06,0.0908,-8.956,0.0505,93.005,4
6,Fleur De Lys,Ti Amo,Phoenix,2017-06-09,223533,35,0.598,0.00329,0.598,0.828,0.0342,0.212,-7.931,0.0393,118.966,4
7,Role Model,Ti Amo,Phoenix,2017-06-09,275520,37,0.457,0.00404,0.457,0.617,0.00137,0.381,-7.769,0.0376,83.059,4
8,Via Veneto,Ti Amo,Phoenix,2017-06-09,161853,32,0.37,0.579,0.37,0.552,0.00813,0.332,-11.58,0.0465,164.05,4
9,Telefono,Ti Amo,Phoenix,2017-06-09,225400,43,0.655,0.128,0.655,0.512,0.00328,0.068,-10.07,0.0311,121.058,4
10,Entertainment,Bankrupt!,Phoenix,2013-04-23,219973,45,0.402,0.00133,0.402,0.72,0.0396,0.325,-4.698,0.0473,75.38,4
11,The Real Thing,Bankrupt!,Phoenix,2013-04-23,202893,34,0.432,0.000675,0.432,0.816,0.0046,0.159,-4.535,0.0479,120.045,4
12,S.O.S In Bel Air,Bankrupt!,Phoenix,2013-04-23,223173,36,0.238,0.0096,0.238,0.805,0.00041,0.272,-4.608,0.0438,139.966,4
13,Trying To Be Cool,Bankrupt!,Phoenix,2013-04-23,228133,46,0.485,0.0146,0.485,0.758,0.0171,0.315,-4.901,0.034,113.966,4
14,Bankrupt!,Bankrupt!,Phoenix,2013-04-23,417213,31,0.282,0.0414,0.282,0.466,0.677,0.098,-12.079,0.0332,123.862,4
15,Drakkar Noir,Bankrupt!,Phoenix,2013-04-23,202173,36,0.385,0.00121,0.385,0.882,4.84e-05,0.46,-5.067,0.0513,129.026,4
16,Chloroform,Bankrupt!,Phoenix,2013-04-23,244813,46,0.326,0.00243,0.326,0.724,0.006,0.081,-7.814,0.0355,137.62,4
17,Don't,Bankrupt!,Phoenix,2013-04-23,196053,34,0.523,4.98e-05,0.523,0.799,0.593,0.403,-5.995,0.0365,103.867,4
18,Bourgeois,Bankrupt!,Phoenix,2013-04-23,293226,36,0.502,0.00516,0.502,0.659,5.76e-05,0.239,-7.79,0.0348,122.918,4
19,Oblique City,Bankrupt!,Phoenix,2013-04-23,209866,29,0.254,0.00822,0.254,0.783,0.000682,0.0895,-6.436,0.0351,135.617,4
20,Entertainment,Bankrupt! (Deluxe),Phoenix,2013-04-22,220240,31,0.392,0.00151,0.392,0.723,0.0254,0.332,-3.973,0.0475,75.305,4
21,The Real Thing,Bankrupt! (Deluxe),Phoenix,2013-04-22,202893,24,0.446,0.00089,0.446,0.848,0.00273,0.202,-3.787,0.0458,120.081,4
22,S.O.S. in Bel Air,Bankrupt! (Deluxe),Phoenix,2013-04-22,221746,25,0.242,0.0108,0.242,0.825,0.000103,0.316,-3.822,0.0454,139.956,4
23,Trying to Be Cool,Bankrupt! (Deluxe),Phoenix,2013-04-22,229560,30,0.492,0.0133,0.492,0.805,0.0147,0.332,-4.186,0.0337,113.981,4
24,Bankrupt!,Bankrupt! (Deluxe),Phoenix,2013-04-22,417213,24,0.277,0.0454,0.277,0.485,0.719,0.0878,-11.408,0.0312,131.163,4
25,Drakkar Noir,Bankrupt! (Deluxe),Phoenix,2013-04-22,202173,25,0.233,0.00116,0.233,0.899,1.88e-05,0.458,-4.315,0.0573,128.826,4
26,Chloroform,Bankrupt! (Deluxe),Phoenix,2013-04-22,244813,26,0.33,0.00242,0.33,0.733,0.0103,0.0812,-7.164,0.0346,137.589,4
27,Don't,Bankrupt! (Deluxe),Phoenix,2013-04-22,196053,22,0.525,6.03e-05,0.525,0.823,0.42,0.378,-5.325,0.0376,103.948,4
28,Bourgeois,Bankrupt! (Deluxe),Phoenix,2013-04-22,293226,24,0.496,0.00511,0.496,0.691,2.65e-05,0.313,-7.021,0.0344,122.879,4
29,Oblique City,Bankrupt! (Deluxe),Phoenix,2013-04-22,210600,21,0.255,0.00906,0.255,0.789,0.000428,0.0892,-5.664,0.0348,135.582,4
