,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,100 Degrees,Live on Ice,tobi lou,2019-08-02,265584,37,0.726,0.457,0.726,0.493,0.0,0.137,-9.942,0.211,77.981,4
1,Waterboy,Live on Ice,tobi lou,2019-08-02,191882,50,0.781,0.0854,0.781,0.679,0.0,0.138,-6.459,0.0447,129.98,4
2,I Was Sad Last Night I'm OK Now,Live on Ice,tobi lou,2019-08-02,190560,65,0.87,0.497,0.87,0.637,3.15e-05,0.205,-8.368,0.0614,120.99,4
3,Sometimes I Ignore You Too,Live on Ice,tobi lou,2019-08-02,250392,43,0.716,0.683,0.716,0.394,0.000733,0.126,-10.638,0.0682,120.022,4
4,That Old Nu-Nu (feat. Erica René & Cam O'bi),Live on Ice,tobi lou,2019-08-02,225056,37,0.756,0.0734,0.756,0.667,4.98e-05,0.103,-7.888,0.0446,129.993,4
5,My Party,Live on Ice,tobi lou,2019-08-02,180979,38,0.795,0.222,0.795,0.488,0.0,0.0984,-6.854,0.127,163.021,4
6,8702,Live on Ice,tobi lou,2019-08-02,169845,38,0.876,0.024,0.876,0.48,0.0,0.113,-7.604,0.0431,115.004,4
7,Deserve It (feat. Rockie Fresh),Live on Ice,tobi lou,2019-08-02,198058,37,0.719,0.214,0.719,0.644,8.75e-05,0.124,-5.445,0.108,156.015,4
8,Smiling at My Phone,Live on Ice,tobi lou,2019-08-02,200339,36,0.7,0.166,0.7,0.652,0.0,0.0927,-6.157,0.0435,81.467,4
9,Delete My # Baby (feat. Soundbwoy & Okay(K)),Live on Ice,tobi lou,2019-08-02,307259,34,0.435,0.302,0.435,0.644,0.0,0.208,-7.862,0.223,136.963,4
10,Berlin/Westside,Live on Ice,tobi lou,2019-08-02,353459,41,0.413,0.12,0.413,0.667,9.04e-06,0.674,-8.369,0.386,165.24,4
11,Cheap Vacations (feat. Facer),Live on Ice,tobi lou,2019-08-02,215999,49,0.652,0.0572,0.652,0.453,5.06e-05,0.114,-8.014,0.0718,80.057,4
12,Looped Up (feat. VERNON),Live on Ice,tobi lou,2019-08-02,271313,49,0.781,0.262,0.781,0.651,1.47e-06,0.115,-7.062,0.103,91.984,4
13,Favorite Substitute (feat. Ryan Destiny),Live on Ice,tobi lou,2019-08-02,243819,40,0.504,0.545,0.504,0.41,0.0,0.153,-9.248,0.0878,140.969,5
14,Humpty Dumpty,Live on Ice,tobi lou,2019-08-02,207483,33,0.681,0.0421,0.681,0.711,0.0,0.0881,-6.699,0.0925,154.974,4
15,Like My Mom,Live on Ice,tobi lou,2019-08-02,122496,32,0.758,0.562,0.758,0.575,0.0,0.122,-6.972,0.0526,162.917,4
16,Orange Reprise (feat. LEJKEYS),Live on Ice,tobi lou,2019-08-02,283665,35,0.549,0.0928,0.549,0.531,1.95e-06,0.101,-7.132,0.199,81.991,4
17,Theme Music,Live on Ice,tobi lou,2019-08-02,234242,36,0.795,0.409,0.795,0.446,0.0,0.509,-7.179,0.177,116.984,4
18,Crying in the Club,Live on Ice,tobi lou,2019-08-02,201593,33,0.766,0.58,0.766,0.779,0.0,0.131,-5.773,0.109,150.073,4
19,Ice Cream Girl,Live on Ice,tobi lou,2019-08-02,172861,36,0.661,0.18,0.661,0.792,8.45e-06,0.0962,-6.913,0.0378,159.985,4
20,17cg (Bonus Track),Live on Ice,tobi lou,2019-08-02,148757,36,0.643,0.209,0.643,0.683,0.0,0.152,-5.204,0.176,145.007,4
21,"Lavender Town, Pt. 1 (feat. DJ Pharris)",tobi lou and the Juice,tobi lou,2018-08-10,188108,38,0.823,0.0978,0.823,0.619,0.0,0.0929,-9.82,0.211,147.985,4
22,Sadderday,tobi lou and the Juice,tobi lou,2018-08-10,216888,36,0.684,0.489,0.684,0.482,0.0,0.156,-11.801,0.0428,134.994,3
23,High Score,tobi lou and the Juice,tobi lou,2018-08-10,211874,43,0.858,0.129,0.858,0.56,7.86e-06,0.332,-7.763,0.159,128.042,4
24,Knock Knock,tobi lou and the Juice,tobi lou,2018-08-10,184320,39,0.9,0.428,0.9,0.572,4.44e-06,0.223,-8.862,0.177,124.971,4
25,Birthday Boy (feat. Zack Villere),tobi lou and the Juice,tobi lou,2018-08-10,186461,43,0.809,0.68,0.809,0.472,0.000274,0.0821,-10.525,0.158,129.991,4
26,Billy,tobi lou and the Juice,tobi lou,2018-08-10,115617,45,0.925,0.306,0.925,0.453,6.99e-05,0.0972,-8.376,0.168,137.022,4
27,Just Keep Goin',tobi lou and the Juice,tobi lou,2018-08-10,312000,65,0.775,0.403,0.775,0.412,0.0,0.148,-11.789,0.141,139.967,4
28,Notice Me,Notice Me,tobi lou,2020-10-21,155742,55,0.373,0.893,0.373,0.437,1.01e-06,0.362,-11.329,0.0367,86.779,3
